yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, locality
1703-12-28, 17:03:00.0, 53.620, -0.110, , 4.2, , , 5-6 ," HULL "
1726-10-26, 07:00:00.0, 50.660, -2.470, , 3.3, , , 5 ," DORCHESTER "
1727-07-19, 04:00:00.0, 51.570, -3.760, 25.0, 5.2, , , 7 ," SWANSEA "
1728-03-01, 04:30:00.0, 55.580, -2.810, 21.0, 4.2, , , 4 ," GALASHIELS "
1734-10-25, 03:50:00.0, 50.200, -0.700, 14.0, 4.5, , , 5 ," PORTSMOUTH "
1736-04-30, 11:00:00.0, 56.170, -3.690, , 2.7, , , 6 ," OCHIL HILLS "
1744-02-05, 00:00:00.0, 52.950, -3.510, , 2.9, , , 5 ," MERIONETH "
1747-07-01, 22:30:00.0, 50.960, -3.110, , 3.5, , , 5 ," TAUNTON "
1749-02-14, 08:30:00.0, 55.420, -3.770, , 2.7, , , 5-6 ," LEADHILLS "
1749-05-17, 10:00:00.0, 50.780, -2.010, , 3.4, , , 5 ," WIMBORNE MINSTER "
1750-02-08, 12:40:00.0, 51.510, -0.070, 2.0, 2.6, , , 6 ," LONDON "
1750-03-08, 05:40:00.0, 51.490, -0.100, 3.0, 3.1, , , 6 ," LONDON "
1750-03-18, 17:45:00.0, 50.230, -1.200, 13.0, 4.3, , , 5 ," PORTSMOUTH "
1750-04-02, 22:15:00.0, 53.250, -2.820, 10.0, 4.0, , , 5 ," CHESTER "
1750-08-23, 06:45:00.0, 53.500, 0.500, , 4.7, , , 4 ," NORTH SEA "
1750-09-30, 12:30:00.0, 52.560, -0.820, 5.0, 4.1, , , 6 ," LEICESTER "
1753-06-08, 23:30:00.0, 53.860, -2.150, , 4.0, , , 5 ," SKIPTON "
1754-04-19, 23:00:00.0, 54.470, 0.010, , 4.4, , , 5 ," WHITBY "
1755-08-01, 06:40:00.0, 53.070, -0.570, , 4.2, , , 5 ," LINCOLN "
1755-11-17, 19:00:00.0, 54.390, -3.390, , 2.0, , , 6 ," WHITEHAVEN "
1757-01-10, 03:00:00.0, 52.550, 1.390, , 3.3, , , 4 ," NORWICH "
1757-05-17, 15:00:00.0, 53.770, -2.080, , 3.2, , , 4 ," TODMORDEN "
1757-07-15, 18:15:00.0, 50.130, -5.460, 15.0, 4.4, , , 5-6 ," PENZANCE "
1757-08-12, 17:00:00.0, 53.230, -4.770, , 3.5, , , 5 ," HOLYHEAD "
1757-08-12, 17:30:00.0, 53.230, -4.770, , 2.0, , , ," HOLYHEAD "
1761-06-09, 11:55:00.0, 51.110, -2.210, , 3.4, , , 5-6 ," SHAFTESBURY "
1764-11-06, 04:15:00.0, 51.710, -1.380, , 3.4, , , 5 ," OXFORD "
1765-11-27, 00:00:00.0, 55.010, -1.590, , 2.0, , , 5-6 ," LONG BENTON "
1768-01-18, 02:00:00.0, 53.090, -3.040, , 3.0, , , 5 ," MOLD "
1768-05-15, 16:15:00.0, 54.320, -2.200, 17.0, 4.4, , , 5 ," WENSLEYDALE "
1768-10-24, 00:00:00.0, 57.430, -4.330, , 3.4, , , 5 ," INVERNESS "
1768-12-21, 17:00:00.0, 52.040, -2.160, 10.0, 4.1, , , 5 ," TEWKESBURY "
